phrase,n
strengthened my,34
understanding of,33
i gained,29
my supervisor,24
my ability to,16
with my supervisor,16
my understanding of,11
strengthened my ability,11
gained insight into,9
a great job,7
to better understand,7
understanding of how,7
clearer understanding of,6
understanding of the,6
deeper understanding of,5
my supervisor and,4
my supervisor to,4
understanding of monitoring,3
understanding of what,3
an understanding of,2
broader understanding of,2
courses strengthened my,2
experience strengthened my,2
good understanding of,2
my supervisor s,2
my supervisor which,2
process strengthened my,2
strengthened my data,2
strengthened my multitasking,2
strengthened my organizational,2
strengthened my skills,2
strengthened my understanding,2
stronger understanding of,2
understanding of user,2
and strengthened my,1
ask my supervisor,1
basic understanding of,1
broad understanding of,1
consulting my supervisor,1
creation strengthened my,1
data strengthened my,1
for my supervisor,1
from my supervisor,1
internal understanding of,1
interviews strengthened my,1
it strengthened my,1
meet my supervisor,1
my supervisor about,1
my supervisor asking,1
my supervisor before,1
my supervisor during,1
my supervisor for,1
my supervisor helped,1
my supervisor is,1
my supervisor once,1
my supervisor we,1
my supervisor who,1
of my supervisor,1
on my supervisor,1
strengthened my collaborative,1
strengthened my communication,1
strengthened my confidence,1
strengthened my cross,1
strengthened my focus,1
strengthened my meeting,1
strengthened my networking,1
strengthened my presentation,1
strengthened my problem,1
strengthened my professional,1
strengthened my research,1
strengthened my strategic,1
strengthened my time,1
this strengthened my,1
to my supervisor,1
understanding of communication,1
understanding of full,1
understanding of humanitarian,1
understanding of internal,1
understanding of organizational,1
understanding of resident,1
understanding of salesforce,1
understanding of social,1
understanding of stakeholder,1
understanding of strategic,1
understanding of that,1
understanding of volunteer,1
